student_id,i,me,my,myself,we,our,ours,ourselves,you,your,yours,yourself,yourselves,he,him,his,himself,she,her,hers,herself,it,its,itself,they,them,their,theirs,themselves,what,which,who,whom,this,that,these,those,am,is,are,was,were,be,been,being,have,has,had,having,do,does,did,doing,a,an,the,and,but,if,or,because,as,until,while,of,at,by,for,with,about,against,between,into,through,during,before,after,above,below,to,from,up,down,in,out,on,off,over,under,again,further,then,once,here,there,when,where,why,how,all,any,both,each,few,more,most,other,some,such,no,nor,not,only,own,same,so,than,too,very,s,t,can,will,just,don,should,now,d,ll,m,o,re,ve,y,ain,aren,couldn,didn,doesn,hadn,hasn,haven,isn,ma,mightn,mustn,needn,shan,shouldn,wasn,weren,won,wouldn,gender
6021b,0.0,0.0,0.0,0.0,0.00333555703803,0.000667111407605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000667111407605,0.0,0.0,0.0,0.0,0.0,0.00266844563042,0.0,0.0,0.00400266844563,0.000667111407605,0.00466977985324,0.0,0.0,0.0,0.00333555703803,0.000667111407605,0.0,0.00333555703803,0.00800533689126,0.00133422281521,0.0,0.0,0.0140093395597,0.0193462308205,0.00133422281521,0.00200133422282,0.00800533689126,0.00266844563042,0.00133422281521,0.00667111407605,0.00466977985324,0.0,0.0,0.00133422281521,0.0,0.000667111407605,0.000667111407605,0.0140093395597,0.00266844563042,0.0480320213476,0.0360240160107,0.00733822548366,0.00133422281521,0.00266844563042,0.000667111407605,0.0100066711141,0.0,0.0,0.0260173448966,0.00533689126084,0.00266844563042,0.00933955970647,0.00466977985324,0.000667111407605,0.0,0.00266844563042,0.00200133422282,0.0,0.0,0.0,0.0,0.0,0.0,0.0300200133422,0.00266844563042,0.000667111407605,0.0,0.0260173448966,0.00133422281521,0.00800533689126,0.0,0.000667111407605,0.0,0.00133422281521,0.0,0.00133422281521,0.0,0.0,0.00200133422282,0.0,0.000667111407605,0.000667111407605,0.0,0.000667111407605,0.000667111407605,0.000667111407605,0.0,0.0,0.00466977985324,0.00200133422282,0.000667111407605,0.0,0.00333555703803,0.000667111407605,0.0,0.00667111407605,0.00133422281521,0.00133422281521,0.0,0.00266844563042,0.00200133422282,0.000667111407605,0.000667111407605,0.0,0.0,0.00533689126084,0.000667111407605,0.0,0.0,0.00133422281521,0.000667111407605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
6021c,0.0,0.0,0.000313577924114,0.0,0.000627155848228,0.00125431169646,0.0,0.0,0.0,0.0,0.0,0.000313577924114,0.0,0.000313577924114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00564440263405,0.0043900909376,0.000313577924114,0.00156788962057,0.000940733772342,0.00627155848228,0.0,0.0,0.000940733772342,0.00313577924114,0.00125431169646,0.0,0.00533082470994,0.00721229225463,0.00188146754468,0.000940733772342,0.0,0.0169332079022,0.00470366886171,0.000627155848228,0.0,0.00752587017874,0.000313577924114,0.000313577924114,0.00783944810285,0.0043900909376,0.000313577924114,0.000940733772342,0.0,0.000627155848228,0.0,0.000313577924114,0.013797428661,0.00282220131703,0.0479774223895,0.0253998118532,0.00344935716526,0.000627155848228,0.00125431169646,0.000313577924114,0.00595798055817,0.0,0.0021950454688,0.0257133897774,0.00407651301348,0.00376293508937,0.00721229225463,0.00752587017874,0.000627155848228,0.000313577924114,0.00156788962057,0.000940733772342,0.0,0.000313577924114,0.0,0.0,0.00125431169646,0.000627155848228,0.032925682032,0.00470366886171,0.000627155848228,0.0,0.0203825650674,0.00125431169646,0.00627155848228,0.000313577924114,0.00125431169646,0.0,0.0,0.000313577924114,0.000627155848228,0.0,0.0,0.000313577924114,0.000627155848228,0.000940733772342,0.000313577924114,0.00125431169646,0.00125431169646,0.000940733772342,0.00125431169646,0.000940733772342,0.000313577924114,0.00533082470994,0.00313577924114,0.00313577924114,0.000627155848228,0.000940733772342,0.00125431169646,0.0,0.00188146754468,0.00125431169646,0.00376293508937,0.000627155848228,0.00125431169646,0.00344935716526,0.000313577924114,0.00344935716526,0.0,0.0,0.00376293508937,0.00125431169646,0.0,0.0,0.000313577924114,0.000627155848228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
3019d,0.0,0.0,0.00040144520273,0.0,0.00200722601365,0.0,0.0,0.0,0.00040144520273,0.0,0.0,0.0,0.0,0.00240867121638,0.0,0.00120433560819,0.0,0.0,0.0,0.0,0.0,0.00682456844641,0.00040144520273,0.00080289040546,0.00281011641911,0.00040144520273,0.00120433560819,0.0,0.00040144520273,0.00200722601365,0.00040144520273,0.00080289040546,0.0,0.00963468486552,0.0264953833802,0.00361300682457,0.0,0.0,0.0301083902047,0.00843034925733,0.00040144520273,0.00160578081092,0.0160578081092,0.00040144520273,0.00080289040546,0.00481734243276,0.00160578081092,0.0,0.0,0.00120433560819,0.00361300682457,0.00040144520273,0.0,0.0196708149338,0.00602167804095,0.040144520273,0.0196708149338,0.00602167804095,0.00080289040546,0.00682456844641,0.00080289040546,0.00602167804095,0.0,0.0,0.0381372942593,0.00160578081092,0.0080289040546,0.0040144520273,0.00441589723003,0.00080289040546,0.0,0.00200722601365,0.00040144520273,0.00080289040546,0.0,0.00080289040546,0.0,0.00040144520273,0.0,0.0293054997993,0.0040144520273,0.0,0.0,0.00843034925733,0.0,0.00441589723003,0.0,0.00040144520273,0.0,0.0,0.00080289040546,0.00040144520273,0.0,0.0,0.00120433560819,0.00080289040546,0.0,0.0,0.00120433560819,0.00240867121638,0.00040144520273,0.00080289040546,0.00120433560819,0.0,0.00240867121638,0.00200722601365,0.00160578081092,0.00200722601365,0.00120433560819,0.00120433560819,0.0,0.010437575271,0.00120433560819,0.00040144520273,0.0040144520273,0.00200722601365,0.00040144520273,0.0,0.00200722601365,0.0,0.0,0.00120433560819,0.00481734243276,0.0,0.0,0.00160578081092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male
3019h,0.0,0.0,0.0,0.0,0.00111607142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00186011904762,0.0,0.000744047619048,0.0,0.0,0.0,0.0,0.0,0.00706845238095,0.00111607142857,0.00111607142857,0.00409226190476,0.000372023809524,0.00223214285714,0.0,0.000372023809524,0.00111607142857,0.0,0.00111607142857,0.0,0.0115327380952,0.0219494047619,0.0014880952381,0.000372023809524,0.0,0.0264136904762,0.0093005952381,0.000372023809524,0.000372023809524,0.0256696428571,0.0014880952381,0.00186011904762,0.00223214285714,0.00334821428571,0.000744047619048,0.000372023809524,0.0,0.00334821428571,0.000372023809524,0.0,0.0167410714286,0.00372023809524,0.0572916666667,0.0223214285714,0.00520833333333,0.00111607142857,0.00260416666667,0.00111607142857,0.00855654761905,0.0,0.0,0.0331101190476,0.0014880952381,0.00706845238095,0.00744047619048,0.00446428571429,0.000372023809524,0.000372023809524,0.00111607142857,0.000372023809524,0.000744047619048,0.0,0.0,0.0,0.0,0.0,0.0308779761905,0.00186011904762,0.000372023809524,0.0,0.0133928571429,0.000372023809524,0.0014880952381,0.000372023809524,0.000372023809524,0.0,0.0,0.000744047619048,0.00111607142857,0.0,0.0,0.00186011904762,0.00111607142857,0.00111607142857,0.000372023809524,0.00223214285714,0.0014880952381,0.0014880952381,0.00186011904762,0.00111607142857,0.0,0.000744047619048,0.0,0.00260416666667,0.000372023809524,0.000372023809524,0.00111607142857,0.0,0.0111607142857,0.00483630952381,0.00111607142857,0.0014880952381,0.00186011904762,0.00111607142857,0.000372023809524,0.00260416666667,0.000372023809524,0.0,0.00186011904762,0.00520833333333,0.00520833333333,0.0,0.00186011904762,0.000744047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male
0304a,0.0,0.0,0.0,0.0,0.0,0.00112485939258,0.0,0.00112485939258,0.0,0.0,0.0,0.0,0.0,0.00393700787402,0.0,0.00506186726659,0.0,0.000562429696288,0.000562429696288,0.0,0.0,0.00506186726659,0.00168728908886,0.000562429696288,0.00562429696288,0.00112485939258,0.00787401574803,0.0,0.0,0.0,0.00674915635546,0.00337457817773,0.0,0.00337457817773,0.0140607424072,0.00224971878515,0.000562429696288,0.0,0.0146231721035,0.00393700787402,0.00224971878515,0.00674915635546,0.00674915635546,0.00168728908886,0.00281214848144,0.00393700787402,0.00224971878515,0.00281214848144,0.0,0.000562429696288,0.0,0.000562429696288,0.000562429696288,0.0151856017998,0.00506186726659,0.0320584926884,0.0191226096738,0.00168728908886,0.0,0.00224971878515,0.00337457817773,0.0151856017998,0.0,0.0,0.025309336333,0.00281214848144,0.00562429696288,0.00787401574803,0.00731158605174,0.000562429696288,0.000562429696288,0.00281214848144,0.00281214848144,0.0,0.000562429696288,0.0,0.00112485939258,0.0,0.0,0.0208098987627,0.00562429696288,0.0,0.0,0.0163104611924,0.000562429696288,0.00618672665917,0.0,0.0,0.0,0.0,0.000562429696288,0.0,0.0,0.0,0.00224971878515,0.00618672665917,0.00337457817773,0.0,0.00112485939258,0.00112485939258,0.0,0.0,0.000562429696288,0.0,0.00393700787402,0.000562429696288,0.00112485939258,0.00337457817773,0.00337457817773,0.00168728908886,0.0,0.00562429696288,0.00112485939258,0.0,0.00112485939258,0.00168728908886,0.00112485939258,0.0,0.0,0.0,0.0,0.00281214848144,0.00168728908886,0.0,0.0,0.00168728908886,0.00168728908886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
0260a,0.0,0.0,0.0,0.0,0.00115473441109,0.000577367205543,0.0,0.0,0.000577367205543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00577367205543,0.000577367205543,0.0,0.00288683602771,0.000577367205543,0.00230946882217,0.0,0.0,0.00230946882217,0.00519630484988,0.0,0.0,0.00577367205543,0.013856812933,0.00115473441109,0.00115473441109,0.0,0.0155889145497,0.0115473441109,0.00230946882217,0.000577367205543,0.00519630484988,0.00230946882217,0.00346420323326,0.0080831408776,0.0040415704388,0.0,0.0,0.000577367205543,0.000577367205543,0.0,0.0,0.00981524249423,0.0040415704388,0.0438799076212,0.0311778290993,0.00288683602771,0.0,0.00577367205543,0.00346420323326,0.0080831408776,0.0,0.0,0.0248267898383,0.00115473441109,0.0109699769053,0.00750577367206,0.0040415704388,0.00288683602771,0.0,0.00230946882217,0.00346420323326,0.00173210161663,0.0,0.0,0.0,0.0,0.0,0.0207852193995,0.00519630484988,0.000577367205543,0.000577367205543,0.0207852193995,0.000577367205543,0.00635103926097,0.000577367205543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040415704388,0.0,0.0,0.0,0.000577367205543,0.000577367205543,0.0,0.000577367205543,0.0,0.0,0.00230946882217,0.00115473441109,0.0,0.00115473441109,0.00230946882217,0.00173210161663,0.0,0.00635103926097,0.0,0.000577367205543,0.0,0.000577367205543,0.00230946882217,0.0,0.00115473441109,0.0,0.0,0.00923787528868,0.00173210161663,0.0,0.0,0.000577367205543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
0260c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00600085726532,0.000857265323618,0.000857265323618,0.00342906129447,0.00300042863266,0.00728675525075,0.0,0.00171453064724,0.000857265323618,0.00900128589799,0.00385769395628,0.0,0.00728675525075,0.0098585512216,0.00171453064724,0.00171453064724,0.0,0.0244320617231,0.0124303471925,0.00128589798543,0.00128589798543,0.00600085726532,0.00214316330904,0.000857265323618,0.00257179597085,0.00557222460351,0.000428632661809,0.000428632661809,0.00128589798543,0.000428632661809,0.0,0.0,0.0124303471925,0.00771538791256,0.0394342048864,0.0295756536648,0.00257179597085,0.000428632661809,0.00428632661809,0.000428632661809,0.00642948992713,0.0,0.0,0.0368624089156,0.00514359194171,0.00814402057437,0.00685812258894,0.0128589798543,0.00128589798543,0.000857265323618,0.000428632661809,0.000857265323618,0.00128589798543,0.0,0.0,0.000428632661809,0.0,0.0,0.020145735105,0.0047149592799,0.0,0.0,0.00942991855979,0.000857265323618,0.00128589798543,0.0,0.000428632661809,0.000428632661809,0.0,0.000428632661809,0.0,0.0,0.0,0.000857265323618,0.000857265323618,0.0,0.000857265323618,0.000857265323618,0.00128589798543,0.0,0.000428632661809,0.000428632661809,0.0,0.000857265323618,0.00214316330904,0.0,0.00171453064724,0.00171453064724,0.00128589798543,0.0,0.0047149592799,0.00128589798543,0.000857265323618,0.000428632661809,0.000857265323618,0.000857265323618,0.0,0.0,0.0,0.0,0.00514359194171,0.00128589798543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
6211a,0.0,0.0,0.0,0.0,0.00118315191671,0.000236630383341,0.0,0.0,0.000236630383341,0.000236630383341,0.0,0.0,0.0,0.00496923805017,0.000946521533365,0.0040227165168,0.0,0.0,0.00189304306673,0.0,0.0,0.00236630383341,0.0,0.00165641268339,0.00236630383341,0.00141978230005,0.00260293421675,0.0,0.000236630383341,0.00165641268339,0.00307619498344,0.000709891150024,0.0,0.00567912920019,0.0144344533838,0.00118315191671,0.0,0.0,0.00733554188358,0.00141978230005,0.0125414103171,0.00378608613346,0.00473260766682,0.00118315191671,0.000473260766682,0.00544249881685,0.0,0.00638902035021,0.000236630383341,0.00141978230005,0.000473260766682,0.00189304306673,0.0,0.0137245622338,0.00331282536678,0.060340747752,0.019403691434,0.00212967345007,0.00189304306673,0.00189304306673,0.00165641268339,0.00425934690014,0.0,0.000946521533365,0.031235210601,0.0040227165168,0.00425934690014,0.00307619498344,0.00449597728348,0.0,0.000236630383341,0.00354945575012,0.000236630383341,0.0,0.00236630383341,0.000709891150024,0.00189304306673,0.000473260766682,0.000236630383341,0.0307619498344,0.00449597728348,0.000473260766682,0.0,0.0139611926171,0.00118315191671,0.00189304306673,0.000236630383341,0.00118315191671,0.000236630383341,0.0,0.000236630383341,0.000946521533365,0.000236630383341,0.000236630383341,0.00212967345007,0.00165641268339,0.000236630383341,0.0,0.000709891150024,0.00260293421675,0.000946521533365,0.00141978230005,0.000236630383341,0.000236630383341,0.00212967345007,0.000709891150024,0.000946521533365,0.000709891150024,0.000946521533365,0.000709891150024,0.000236630383341,0.00544249881685,0.00212967345007,0.000236630383341,0.000473260766682,0.00118315191671,0.00118315191671,0.0,0.000946521533365,0.0,0.0,0.00165641268339,0.000473260766682,0.000236630383341,0.0,0.000473260766682,0.000946521533365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male
0144e,0.0,0.0,0.0,0.0,0.00225225225225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000281531531532,0.0,0.00197072072072,0.000281531531532,0.0,0.0,0.0,0.0,0.00788288288288,0.00253378378378,0.00140765765766,0.000844594594595,0.000844594594595,0.00168918918919,0.0,0.0,0.000563063063063,0.00422297297297,0.000281531531532,0.0,0.00760135135135,0.0118243243243,0.00225225225225,0.000563063063063,0.0,0.00506756756757,0.00281531531532,0.00731981981982,0.00281531531532,0.00422297297297,0.000844594594595,0.0,0.00197072072072,0.00140765765766,0.000844594594595,0.0,0.000844594594595,0.000281531531532,0.0,0.0,0.0171734234234,0.00309684684685,0.0503941441441,0.0304054054054,0.00197072072072,0.0,0.00197072072072,0.0,0.00844594594595,0.0,0.0,0.0495495495495,0.00168918918919,0.00591216216216,0.00647522522523,0.00394144144144,0.0,0.000844594594595,0.00197072072072,0.000844594594595,0.00140765765766,0.0,0.0,0.0,0.000563063063063,0.0,0.0219594594595,0.00140765765766,0.0,0.000281531531532,0.013795045045,0.000281531531532,0.000563063063063,0.0,0.000281531531532,0.0,0.0,0.000563063063063,0.00168918918919,0.0,0.000281531531532,0.000844594594595,0.0,0.000844594594595,0.0,0.000281531531532,0.00309684684685,0.00112612612613,0.00140765765766,0.000281531531532,0.0,0.00197072072072,0.000563063063063,0.000563063063063,0.0,0.0,0.000844594594595,0.000281531531532,0.00337837837838,0.00140765765766,0.000844594594595,0.000844594594595,0.000844594594595,0.000844594594595,0.0,0.000281531531532,0.0,0.0,0.00281531531532,0.0,0.0,0.0,0.000281531531532,0.000281531531532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male
3096a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00707785642063,0.000505561172902,0.010111223458,0.0,0.0,0.0,0.0,0.0,0.00707785642063,0.0010111223458,0.0,0.00151668351871,0.00151668351871,0.00151668351871,0.0,0.0,0.00252780586451,0.00303336703741,0.0,0.0,0.00404448938322,0.00808897876643,0.000505561172902,0.0010111223458,0.0,0.00960566228514,0.00353892821031,0.0121334681496,0.00303336703741,0.00556117290192,0.00303336703741,0.0010111223458,0.00202224469161,0.00556117290192,0.0010111223458,0.000505561172902,0.0,0.000505561172902,0.0,0.0,0.0187057633974,0.00455005055612,0.0778564206269,0.0278058645096,0.0010111223458,0.000505561172902,0.0010111223458,0.0,0.00404448938322,0.0,0.0,0.0429726996967,0.00202224469161,0.00505561172902,0.0106167846309,0.00707785642063,0.0,0.000505561172902,0.0,0.000505561172902,0.000505561172902,0.000505561172902,0.0,0.0,0.00151668351871,0.0,0.030839231547,0.00657229524772,0.0,0.0,0.0187057633974,0.000505561172902,0.00455005055612,0.0,0.00202224469161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00303336703741,0.0,0.0,0.00252780586451,0.0,0.00202224469161,0.0,0.0,0.00202224469161,0.000505561172902,0.00151668351871,0.0,0.0,0.0,0.0,0.00151668351871,0.000505561172902,0.0,0.000505561172902,0.0010111223458,0.00353892821031,0.0,0.000505561172902,0.0,0.0,0.000505561172902,0.0010111223458,0.0,0.0,0.000505561172902,0.000505561172902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000505561172902,0.0,male
